,AppName,compute_version,gpu_id,gpu_name,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y
77,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,11.3497840000,112,112,32,32
78,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,13.9607620000,120,120,32,32
79,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,16.9423370000,128,128,32,32
80,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,20.3330170000,136,136,32,32
81,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,24.1191390000,144,144,32,32
82,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,28.3623510000,152,152,32,32
83,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,32.7101700000,160,160,32,32
84,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,37.8348730000,168,168,32,32
85,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,43.4959140000,176,176,32,32
86,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,49.9392140000,184,184,32,32
87,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,56.4884750000,192,192,32,32
88,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,63.8500740000,200,200,32,32
89,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,71.8045580000,208,208,32,32
90,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,80.4345550000,216,216,32,32
91,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,89.7515300000,224,224,32,32
92,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,99.6159470000,232,232,32,32
93,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,110.8896940000,240,240,32,32
94,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,121.6782560000,248,248,32,32
95,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,133.8314470000,256,256,32,32
96,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0007363290,32,32,8,8
97,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0057435900,64,64,8,8
98,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0194300000,96,96,8,8
99,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0455820000,128,128,8,8
100,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0889980000,160,160,8,8
101,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.1540080000,192,192,8,8
102,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.2376660000,224,224,8,8
103,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.3380780000,256,256,8,8
104,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.4792340000,288,288,8,8
105,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.6577520000,320,320,8,8
106,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.8752650000,352,352,8,8
107,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,1.1371740000,384,384,8,8
108,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,1.4456610000,416,416,8,8
109,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,1.8064060000,448,448,8,8
110,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,2.2219300000,480,480,8,8
111,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,2.6990490000,512,512,8,8
112,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,3.2369450000,544,544,8,8
113,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,3.8457770000,576,576,8,8
114,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,4.5233550000,608,608,8,8
115,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,5.2787430000,640,640,8,8
116,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,6.1108700000,672,672,8,8
117,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,7.0299520000,704,704,8,8
118,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,8.0335490000,736,736,8,8
119,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,9.1375920000,768,768,8,8
120,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,10.4402500000,800,800,8,8
121,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,11.7542950000,832,832,8,8
122,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,13.1610280000,864,864,8,8
123,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,14.6887490000,896,896,8,8
124,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,16.3190880000,928,928,8,8
125,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,18.0877370000,960,960,8,8
126,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,19.9459380000,992,992,8,8
127,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,21.9446940000,1024,1024,8,8
128,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0005530280,16,16,16,16
129,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0044101230,32,32,16,16
130,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0147860000,48,48,16,16
131,matMul_gpu,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,2,0.0350390000,64,64,16,16
