,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
3064,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,768,5.4594e-05,16,-2.3020393019650705,-2.302040363509403
3088,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,6912,0.004441734,16,-2.259125932454871,-2.2591121070212306
3089,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,7168,0.004757325,16,-2.256108794223812,-2.2560887693010634
3090,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,7424,0.005116885,16,-2.2526823574855057,-2.2527445852198396
3091,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,7680,0.005479678,16,-2.249236970213125,-2.2493065679874276
3092,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,7936,0.00570397,16,-2.247112827681659,-2.2471343988370815
3093,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,8192,0.005869478,16,-2.2455482832142377,-2.245628088709139
3094,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,256,4.736e-06,16,-2.302537734115495,-2.3025278818418915
3095,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,512,1.5841e-05,16,-2.3024266955395847,-2.302428525256659
3087,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,6656,0.004124383,16,-2.262169104082915,-2.262183401915852
3096,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,768,3.5744e-05,16,-2.302227716860504,-2.302226090654041
3098,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,1280,9.4626e-05,16,-2.3016392804158103,-2.301635451501955
3099,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,1536,0.000134627,16,-2.3012397284029764,-2.30125002328252
3100,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,1792,0.000186563,16,-2.3007212011202296,-2.30071281866706
3101,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,2048,0.000239172,16,-2.300196228604018,-2.300170771280304
3102,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,2304,0.000308165,16,-2.299508181544866,-2.2995159008509134
3103,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,2560,0.000380167,16,-2.2987906310787096,-2.2987913999118272
3104,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,2816,0.000451975,16,-2.298075526391333,-2.2981011105893083
3105,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,3072,0.00052852,16,-2.2973138106467177,-2.297279419755459
3097,3.5,8,0,348,2688,1.5,288.384,4709.376,6,5,100,1024,6.1698e-05,16,-2.3019683032479548,-2.3019650939197778
3086,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,6400,0.003811642,16,-2.26517715654344,-2.2650975205843067
3085,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,6144,0.003408975,16,-2.269063521835151,-2.2690548384978855
3084,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,5888,0.003202665,16,-2.2710606026246882,-2.2710419898409984
3065,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,1024,8.8962e-05,16,-2.3016958684713855,-2.3016803561977937
3066,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,1280,0.000148164,16,-2.3011045495396,-2.3011039196576624
3067,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,1536,0.000211237,16,-2.3004749509106497,-2.3004815164905135
3068,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,1792,0.000292679,16,-2.299662577705141,-2.2996569723261295
3069,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,2048,0.000347625,16,-2.299114871184784,-2.2990888624263928
3070,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,2304,0.000483308,16,-2.2977636548296423,-2.297757517972688
3071,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,2560,0.000600111,16,-2.296601917937385,-2.2965883767212816
3072,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,2816,0.000716913,16,-2.295441539040606,-2.295522462339383
3073,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,3072,0.000848501,16,-2.294135878351281,-2.2942245505452035
3074,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,3328,0.001017784,16,-2.292458698433081,-2.292437652840825
3075,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,3584,0.001172348,16,-2.290929800572644,-2.290987929108661
3076,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,3840,0.001310687,16,-2.289563374772827,-2.2895223885937708
3077,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,4096,0.001402607,16,-2.2886564780963807,-2.288566754442
