,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
1214,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,1.336934,144.0,144.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1213,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.960625,128.0,128.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1212,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.66296,112.0,112.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1211,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.448018,96.0,96.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1210,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.276467,80.0,80.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1209,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.14844,64.0,64.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1208,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.062717,48.0,48.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1207,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.018778,32.0,32.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1217,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,3.125314,192.0,192.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1206,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,0.002475935,16.0,16.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1204,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,47.092938,496.0,496.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1203,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,42.693317,480.0,480.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1202,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,38.566729,464.0,464.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1201,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,34.679002,448.0,448.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1200,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,31.098046,432.0,432.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1199,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,27.762598,416.0,416.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1198,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,24.469656,400.0,400.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1197,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,21.500768,384.0,384.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1196,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,18.923041,368.0,368.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1195,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,16.556894,352.0,352.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1205,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,51.824797,512.0,512.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1218,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,3.936816,208.0,208.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1219,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,4.918555,224.0,224.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1220,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,6.003707,240.0,240.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1243,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,33.167952,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1242,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,28.853693,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1241,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,24.920614,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1240,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,21.364093,152.0,152.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1239,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,18.170198,144.0,144.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1238,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,15.305509,136.0,136.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1237,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,12.761046,128.0,128.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1236,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,10.515142,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1235,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,8.549465,112.0,112.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1234,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,6.846016,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1233,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,5.387891,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1232,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,4.149508,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1231,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,3.119486,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1230,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,2.314599,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1229,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,1.626277,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1228,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,1.072764,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1227,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.676865,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1226,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.391232,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1225,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,0.201706,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
