,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4027,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,4608,22.636537,144,144,32,32
4028,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,4864,26.614206,152,152,32,32
4063,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,5632,32.504602,176,176,32,32
4029,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,5120,31.039838,160,160,32,32
4031,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,5632,41.319855,176,176,32,32
4032,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,5888,47.19628,184,184,32,32
4033,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,6144,53.639768,192,192,32,32
4034,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,6400,60.626719,200,200,32,32
4035,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,6656,68.189019,208,208,32,32
4036,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,6912,76.362554,216,216,32,32
4037,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,7168,85.186952,224,224,32,32
4038,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,7424,94.612986,232,232,32,32
4039,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,7680,104.742912,240,240,32,32
4030,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,5376,35.934269,168,168,32,32
4203,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,512,0.003851355,32,32,16,16
4064,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,5888,37.141318,184,184,32,32
4066,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,6400,47.694513,200,200,32,32
4091,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,4608,19.503694,144,144,32,32
4092,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,4864,22.788855,152,152,32,32
4093,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,5120,26.6372,160,160,32,32
4094,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,5376,30.783217,168,168,32,32
4095,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,5632,35.412134,176,176,32,32
4096,3.5,32,0,348,5,771,2304,1.0,256,3004,192256.0,8,12,192,3552768.0,1,6,100,5888,40.398431,184,184,32,32
