compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,occupancy,input_size,duration,block_x
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6656,10.031895,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6912,9.332819,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7168,13.075423,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7424,11.061829,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7680,23.75341,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7936,13.653566,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,8192,18.13272,8
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,256,0.000533127,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,512,0.004151108,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,768,0.013947,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1024,0.033175,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1280,0.064762,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1536,0.11273,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,1792,0.178715,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2048,0.267383,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2304,0.380128,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2560,0.524882,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,2816,0.694673,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3072,0.913443,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3328,1.148747,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3584,1.442796,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,3840,1.765668,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4096,2.149659,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4352,2.563868,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4608,3.079374,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,4864,3.576788,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5120,4.181316,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5376,4.822524,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5632,5.580472,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,5888,6.315372,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6144,7.305401,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6400,8.107697,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6656,9.211848,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,6912,10.240584,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7168,11.48058,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7424,12.665174,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7680,14.354688,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,7936,15.473483,16
3.0,25,2048,348,1536,0.5,192.256,3250.176,100,8192,17.114657,16
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,256,0.000682313,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,512,0.005395527,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,768,0.01808,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1024,0.043071,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1280,0.083636,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1536,0.144213,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,1792,0.227962,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,2048,0.341229,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,2304,0.485456,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,2560,0.665118,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,2816,0.88431,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,3072,1.149752,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,3328,1.459609,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,3584,1.823104,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,3840,2.241829,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,4096,2.699018,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,4352,3.233718,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,4608,3.876503,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,4864,4.513494,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,5120,5.264553,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,5376,6.148969,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,5632,7.004699,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,5888,7.992201,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,6144,9.191348,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,6400,10.258562,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,6656,11.548467,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,6912,12.922886,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,7168,14.415615,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,7424,16.050883,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,7680,17.781313,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,7936,19.549829,32
3.0,25,8192,348,1536,0.5,192.256,3250.176,100,8192,21.510362,32
3.0,32,512,348,1536,0.5,192.256,3250.176,50,256,0.000271811,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,512,0.002197406,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,768,0.007433022,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1024,0.017558,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1280,0.034728,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1536,0.060282,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1792,0.094731,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2048,0.14103,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2304,0.204274,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2560,0.284864,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2816,0.381032,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3072,0.489206,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3328,0.638776,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3584,0.788914,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3840,0.987934,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4096,1.185529,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4352,1.451736,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4608,1.709398,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4864,2.032578,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5120,2.344728,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5376,2.784795,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5632,3.194603,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5888,3.734596,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6144,4.125141,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6400,4.756244,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6656,5.362123,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6912,6.021932,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7168,6.63358,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7424,7.489791,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7680,8.308536,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,7936,9.377727,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,8192,9.970793,8
